Reporting Railroad Code,Reporting Railroad Name,Year,Accident Number,PDF Link,Accident Year,Accident Month,Other Railroad Code,Other Railroad Name,Other Accident Number,Other Accident Year,Other Accident Month,Maintenance Railroad Code,Maintenance Railroad Name,Maintenance Accident Number,Maintenance Accident Year,Maintenance Accident Month,Grade Crossing ID,Day,Date,Time,Accident Type Code,Accident Type,Hazmat Cars,Hazmat Cars Damaged,Hazmat Released Cars,Persons Evacuated,Subdivision,Division Code,Division,Station,Milepost,State Code,State Abbreviation,State Name,County Code,County Name,District,Temperature,Visibility Code,Visibility,Weather Condition Code,Weather Condition,Track Type Code,Track Type,Track Name,Track Class,Track Density,Train Direction Code,Train Direction,Equipment Type Code,Equipment Type,Equipment Attended,Train Number,Train Speed,Recorded Estimated Speed,Maximum Speed,Gross Tonnage,Signalization Code,Signalization,Method Of Operation Code,Method Of Operation,Adjunct Code 1,Adjunct Name 1,Adjunct Code 2,Adjunct Name 2,Adjunct Code 3,Adjunct Name 3,Remote Control Locomotive Code,Remote Control Locomotive,First Car Initials,First Car Number,First Car Position,First Car Loaded,Causing Car Initials,Causing Car Number,Causing Car Position,Causing Car Loaded,Positive Alcohol Tests,Positive Drug Tests,Passengers Transported,Head End Locomotives,Mid Train Manual Locomotives,Mid Train Remote Locomotives,Rear End Manual Locomotives,Rear End Remote Locomotives,Derailed Head End Locomotives,Derailed Mid Train Manual Locomotives,Derailed Mid Train Remote Locomotives,Derailed Rear End Manual Locomotives,Derailed Rear End Remote Locomotives,Loaded Freight Cars,Loaded Passenger Cars,Empty Freight Cars,Empty Passenger Cars,Cabooses,Derailed Loaded Freight Cars,Derailed Loaded Passenger Cars,Derailed Empty Freight Cars,Derailed Empty Passenger Cars,Derailed Cabooses,Equipment Damage Cost,Track Damage Cost,Total Damage Cost,Primary Accident Cause Code,Primary Accident Cause,Contributing Accident Cause Code,Contributing Accident Cause,Accident Cause Code,Accident Cause,Engineers On Duty,Firemen On Duty,Conductors On Duty,Brakemen On Duty,Hours Engineers On Duty,Minutes Engineers On Duty,Hours Conductors On Duty,Minutes Conductors On Duty,Railroad Employees Killed,Railroad Employees Injured,Passengers Killed,Passengers Injured,Others Killed,Others Injured,Reporting Railroad Fatalities for 55a,Reporting Railroad Injuries for 55a,Total Persons Killed,Total Persons Injured,Total Killed Form 54,Total Injured Form 54,Special Study 1,Special Study 2,Latitude,Longitude,Narrative,Joint Track Type,Joint Track Class,Class Code,Class,Joint CD,Incident Key,Report Key,Reporting Railroad Company Grouping,Reporting Railroad Class,Reporting Railroad SMT Grouping,Reporting Parent Railroad Code,Reporting Parent Railroad Name,Reporting Railroad Holding Company,Other Railroad Company Grouping,Other Railroad Class,Other Railroad SMT Grouping,Other Parent Railroad Code,Other Parent Railroad Name,Other Railroad Holding Company,Maintenance Railroad Company Grouping,Maintenance Railroad Class,Maintenance Railroad SMT Grouping,Maintenance Parent Railroad Code,Maintenance Parent Railroad Name,Maintenance Railroad Holding Company,Location
NS,Norfolk Southern Railway Company,2016,122005,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=NS12200520160909,16,09,,,,,,ACA,Aluminum Company Of America,INDUSTRY,16,09,,09,09/09/2016 12:00:00 AM,11:15 AM,01,Derailment,0,0,0,0,ILLINOIS,,,YANKEETOWN,000.00,18,IN,INDIANA,173,WARRICK,4,82.0,2,Day,1,Clear,4,Industry,ALCOA TRACK 21,1,0000,3,East,1,Freight Train,Yes,D28D,007,Estimated,007,1008,2,Not Signaled,,Other Than Main Track,K,Restricted Speed or Equivalent,,,,,0,Not a remotely controlled operation,TBOX,670935,009,No,,,000,,,,No,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,5,0,0,11887,0,11887,T110,Wide gage (due to defective or missing crossties),,,T110,Wide gage (due to defective or missing crossties),1,0,1,0,5,15,5,15,0,0,0,0,0,0,0,0,0,0,0,0,OTH,000-000-000,37.913260000000001,-87.318454000000003,D28 DERAILED 5 CARS PULLING EAST IN ALCOA.,Industry,1,1,1,1,ACAINDUSTRY201609,NS122005201609,,Class 1,SMT-3 - Norfolk Southern,NS,Norfolk Southern Railway Company,Norfolk Southern Railway Company,,,,,,,Shippers,,,ACA,Aluminum Company Of America,Not Assigned,POINT (-87.318454 37.91326)
ATK,Amtrak (National Railroad Passenger Corporation),2019,158162,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=ATK15816220190321,19,03,,,,,,ATK,Amtrak (National Railroad Passenger Corporation),158162,19,03,,21,03/21/2019 12:00:00 AM,1:38 PM,01,Derailment,0,0,0,0,SOSS,,,BEECH GROVE,0104.6,18,IN,INDIANA,097,MARION,4,39.0,2,Day,2,Cloudy,2,Yard,8/9 SWITCH,1,,2,South,8,Light loco(s),Yes,46,005,Estimated,005,0,2,Not Signaled,,Other Than Main Track,,,,,,,0,Not a remotely controlled operation,AMT,000064,001,,,,000,,,,No,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15037,2500,17537,T110,Wide gage (due to defective or missing crossties),,,T110,Wide gage (due to defective or missing crossties),1,0,0,0,3,38,,,0,0,0,0,0,0,0,0,0,0,0,0,OTH,,39.719721999999997,-86.077777999999995,"WHILE YARD CREW WAS MAKING A REVERSE MOVE WITH ENGINES 64 AND 188 INTO TRACK 9 AT THE BEECH GROVE FACILITY, ENGINE 188 TRAVERSED OVER THE 31 SWITCH AND AXLE R/L 4 ON ENGINE 64  DROPPED IN AT THE 31 SWITCH, STOPPING THE MOVEMENT DUE TO WIDE GAUGE.",Yard,1,6,6,1,ATK158162201903,ATK158162201903,Passenger (Formerly Commuter),,"SMT-1 - Amtrak, Commuter East",ATK,Amtrak (National Railroad Passenger Corporation),Amtrak,,,,,,,Passenger (Formerly Commuter),,"SMT-1 - Amtrak, Commuter East",ATK,Amtrak (National Railroad Passenger Corporation),Amtrak,POINT (-86.077778 39.719722)
ATK,Amtrak (National Railroad Passenger Corporation),2019,158327,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=ATK15832720190403,19,04,,,,,,ATK,Amtrak (National Railroad Passenger Corporation),158327,19,04,,03,04/03/2019 12:00:00 AM,9:55 AM,01,Derailment,0,0,0,0,SOSS,,,BEECH GROVE,0104.6,18,IN,INDIANA,097,MARION,4,51.0,2,Day,2,Cloudy,2,Yard,29,1,,4,West,8,Light loco(s),Yes,189,010,Estimated,010,0,2,Not Signaled,,Other Than Main Track,L,Special Instructions,,,,,0,Not a remotely controlled operation,AMT,000189,001,,,,000,,,,No,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14661,2764,17425,T113,Wide gage (due to worn rails),,,T113,Wide gage (due to worn rails),1,0,0,0,2,55,,,0,0,0,0,0,0,0,0,0,0,0,0,OTH,,39.719721999999997,-86.077777999999995,AT APPROXIMATELY 9:55AM LOCOMOTIVE E/189 BEIING PULLED BY A YARD SWITCHER FROM #29 TRACK-LOCOMOTIVESHOP DERAILED THE F-END #1 TRUCK.  THE CAUSE OF DERAILMENT WAS WIDE GAUGE CONDITION.,Yard,1,6,6,1,ATK158327201904,ATK158327201904,Passenger (Formerly Commuter),,"SMT-1 - Amtrak, Commuter East",ATK,Amtrak (National Railroad Passenger Corporation),Amtrak,,,,,,,Passenger (Formerly Commuter),,"SMT-1 - Amtrak, Commuter East",ATK,Amtrak (National Railroad Passenger Corporation),Amtrak,POINT (-86.077778 39.719722)
ATK,Amtrak (National Railroad Passenger Corporation),2017,146245,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=ATK14624520170203,17,02,,,,,,ATK,Amtrak (National Railroad Passenger Corporation),146245,17,02,,03,02/03/2017 12:00:00 AM,12:30 PM,01,Derailment,0,0,0,0,SOSS,,,BEECH GROVE,,18,IN,INDIANA,097,MARION,4,22.0,2,Day,1,Clear,2,Yard,TRACK #27,1,,,,7,Yard/switching,Yes,711,005,Estimated,005,0,2,Not Signaled,,Other Than Main Track,,,,,,,0,Not a remotely controlled operation,AMT,000711,001,,,,000,,,0,No,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,59696,1000,60696,T199,Other track geometry defects (Provide detailed description in narrative),,,T199,Other track geometry defects (Provide detailed description in narrative),1,0,1,0,5,30,5,30,0,0,0,0,0,0,0,0,0,0,0,0,CWR,,39.721159,-86.080662000000004,"WHILE PUSHING LOCO E/711 INTO LOCO SHOP THE UNIT RODE UP THE RAIL IN A CURVE AT SWITCH 39.  UNIT E/711 WAS BEING PUSHED BY RAIL KING CAR MOVER.  AMTRAKS EQUIPMENT DAMAGE IS $59,696.00.",Yard,1,6,6,1,ATK146245201702,ATK146245201702,Passenger (Formerly Commuter),,"SMT-1 - Amtrak, Commuter East",ATK,Amtrak (National Railroad Passenger Corporation),Amtrak,,,,,,,Passenger (Formerly Commuter),,"SMT-1 - Amtrak, Commuter East",ATK,Amtrak (National Railroad Passenger Corporation),Amtrak,POINT (-86.080662 39.721159)
ATK,Amtrak (National Railroad Passenger Corporation),2018,151649,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=ATK15164920180123,18,01,,,,,,ATK,Amtrak (National Railroad Passenger Corporation),151649,18,01,,23,01/23/2018 12:00:00 AM,1:30 AM,01,Derailment,0,0,0,0,SOSS,,,BEECH GROVE,0104.5,18,IN,INDIANA,097,MARION,4,38.0,4,Dark,3,Rain,2,Yard,TRACK 7,1,,3,East,8,Light loco(s),Yes,30,005,Estimated,005,0,2,Not Signaled,,Other Than Main Track,L,Special Instructions,,,,,0,Not a remotely controlled operation,AMT,000030,001,,,,000,,0,0,No,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21664,0,21664,H303,"Derail, failure to apply or remove",,,H303,"Derail, failure to apply or remove",1,0,0,1,3,30,1,30,0,0,0,0,0,0,0,0,0,0,0,0,OTH,,39.719527999999997,-86.078520999999995,"AT THE BEECH GROVE SHOP A HEAVY EQUIPMENT OPERATOR MAKING A REVERSE EASTBOUND LITE ENGINE MOVE ON TRACK #7 WITH LOCOMOTIVE E/30 DERAILED THE #4 AXLE (REAR).  A DAMAGED DERAIL WAS FOUND AT THE LOCATION.  AMTRAKS EQUIPMENT DAMAGE IS $21,664.00.",Yard,1,6,6,1,ATK151649201801,ATK151649201801,Passenger (Formerly Commuter),,"SMT-1 - Amtrak, Commuter East",ATK,Amtrak (National Railroad Passenger Corporation),Amtrak,,,,,,,Passenger (Formerly Commuter),,"SMT-1 - Amtrak, Commuter East",ATK,Amtrak (National Railroad Passenger Corporation),Amtrak,POINT (-86.078521 39.719528)
NS,Norfolk Southern Railway Company,2014,108542,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=NS10854220140112,14,01,,,,,,AKQ,AK STEEL,INDUSTRY,14,01,,12,01/12/2014 12:00:00 AM,10:05 AM,01,Derailment,0,0,0,0,ILLINOIS,,,CHRISNEY,006.00,18,IN,INDIANA,147,SPENCER,4,48.0,2,Day,1,Clear,4,Industry,SCALE TRACK,1,0000,1,North,1,Freight Train,Yes,61AD,002,Recorded,002,9038,2,Not Signaled,,Other Than Main Track,K,Restricted Speed or Equivalent,,,,,0,Not a remotely controlled operation,NS,610093,077,Yes,,,000,,,,No,3,0,0,0,0,0,0,0,0,0,73,0,17,0,0,3,0,0,0,0,12850,30000,42850,T110,Wide gage (due to defective or missing crossties),,,T110,Wide gage (due to defective or missing crossties),1,0,1,0,6,25,6,25,0,0,0,0,0,0,0,0,0,0,0,0,OTH,,37.967790000000001,-87.039409000000006,61AD911 PULLING NORTH ON THE SCALE TRACK AT AK STEEL INDUSTRY DERAILED 3 LOADED CARS.  INDUSTRY OWNED & MAINTAINED TRACK.,Industry,1,1,1,1,AKQINDUSTRY201401,NS108542201401,,Class 1,SMT-3 - Norfolk Southern,NS,Norfolk Southern Railway Company,Norfolk Southern Railway Company,,,,,,,,,,AKQ,AK STEEL,Not Assigned,POINT (-87.039409 37.96779)
ATK,Amtrak (National Railroad Passenger Corporation),2011,121581,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=ATK12158120111025,11,10,,,,,,ATK,Amtrak (National Railroad Passenger Corporation),121581,11,10,,25,10/25/2011 12:00:00 AM,10:15 AM,01,Derailment,0,0,0,0,BEE,,,BEECH GROVE,,18,IN,INDIANA,097,MARION,4,70.0,2,Day,1,Clear,2,Yard,LOCOMOTIVE SHOP LEAD,1,,1,North,8,Light loco(s),Yes,176,003,Estimated,003,0,2,Not Signaled,,Other Than Main Track,,,,,,,0,Not a remotely controlled operation,AMT,000176,001,,,,000,,,,No,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13600,500,14100,T314,Switch point worn or broken,,,T314,Switch point worn or broken,2,0,0,0,3,15,,,0,0,0,0,0,0,0,0,0,0,0,0,CWR,,39.721988000000003,-86.089984999999999,ENGINE 178 WAS BEING MOVED IN THE BEECH GROVE MAINTENANCE FACILITY WHEN IT DERAILED DUE TO DEFECTIVESWITCH POINT.,Yard,1,6,6,1,ATK121581201110,ATK121581201110,Passenger (Formerly Commuter),,"SMT-1 - Amtrak, Commuter East",ATK,Amtrak (National Railroad Passenger Corporation),Amtrak,,,,,,,Passenger (Formerly Commuter),,"SMT-1 - Amtrak, Commuter East",ATK,Amtrak (National Railroad Passenger Corporation),Amtrak,POINT (-86.089985 39.721988)
ATK,Amtrak (National Railroad Passenger Corporation),2020,164101,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=ATK16410120200412,20,04,,,,,,ATK,Amtrak (National Railroad Passenger Corporation),164101,20,04,,12,04/12/2020 12:00:00 AM,2:54 AM,01,Derailment,0,0,0,0,SOSS,,,BEECH GROVE,,18,IN,INDIANA,097,MARION,4,50.0,4,Dark,2,Cloudy,2,Yard,MAIN LEAD,1,,3,East,7,Yard/switching,Yes,P980,004,Recorded,004,0,2,Not Signaled,,Other Than Main Track,L,Special Instructions,,,,,0,Not a remotely controlled operation,AMT,000061,001,,,,000,,,,No,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,54904,6500,61404,T110,Wide gage (due to defective or missing crossties),,,T110,Wide gage (due to defective or missing crossties),1,1,1,0,8,30,8,30,0,0,0,0,0,0,0,0,0,0,0,0,CWR,,39.717517999999998,-86.076921999999996,"WHILE SHOVING THE CUT-OFF EQUIPMENT OFF TRAIN 50(11), E/504-E/61-C/6303-C/61060, EAST INTO THE YARDAT BEECH GROVE MAINTENANCE FACILITY, ENGINES E/504-E/61 DERAILED UPRIGHT ON THE MAIN LEAD TRACK.  THE CAUSE OF THE DERAILMENT IS PENDING.  THERE WERE NO INJURIES TO REPORT.",Yard,1,6,6,1,ATK164101202004,ATK164101202004,Passenger (Formerly Commuter),,"SMT-1 - Amtrak, Commuter East",ATK,Amtrak (National Railroad Passenger Corporation),Amtrak,,,,,,,Passenger (Formerly Commuter),,"SMT-1 - Amtrak, Commuter East",ATK,Amtrak (National Railroad Passenger Corporation),Amtrak,POINT (-86.076922 39.717518)
ATK,Amtrak (National Railroad Passenger Corporation),2015,135866,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=ATK13586620150108,15,01,,,,,,ATK,Amtrak (National Railroad Passenger Corporation),135866,15,01,,08,01/08/2015 12:00:00 AM,3:20 AM,01,Derailment,0,0,0,0,CEN,,,BEECH GROVE,,18,IN,INDIANA,097,MARION,4,-8.0,4,Dark,1,Clear,2,Yard,BEECH GROVE,1,,1,North,7,Yard/switching,Yes,850,005,Estimated,005,0,2,Not Signaled,,Other Than Main Track,,,,,,,0,Not a remotely controlled operation,AMT,058002,001,No,,,000,,,,No,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13361,0,13361,T311,Switch damaged or out of adjustment,,,T311,Switch damaged or out of adjustment,1,0,0,0,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,CWR,,39.724699000000001,-86.081935999999999,"INBOUND TRAIN 850 WITH BUSINESS CAR 58002 WAS BEING PUSHED INTO THE NORTH TRACK OF THE COACH SHOP WHEN BUSINESS CAR 58002 DERAILED AT SWITCH 29.  THE SWITCH DID NOT LOCK INTO PLACE DUE TO SNOW AND ICEBUILDUP AND THE CAR 58002 SPLIT THE RAIL AT THE SWITCH.  AMTRAKS EQUIPMENT DAMAGE IS $13,361.00.",Yard,1,6,6,1,ATK135866201501,ATK135866201501,Passenger (Formerly Commuter),,"SMT-1 - Amtrak, Commuter East",ATK,Amtrak (National Railroad Passenger Corporation),Amtrak,,,,,,,Passenger (Formerly Commuter),,"SMT-1 - Amtrak, Commuter East",ATK,Amtrak (National Railroad Passenger Corporation),Amtrak,POINT (-86.081936 39.724699)
BHS,BURNS HARBOR SHORTLINE RAILROAD COMPANY,2023,BHS0523,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=BHSBHS052320230302,23,03,NS,Norfolk Southern Railway Company,ZZZZZZZZZZ,23,03,BHS,BURNS HARBOR SHORTLINE RAILROAD COMPANY,BHS0523,23,03,,02,03/02/2023 12:00:00 AM,10:15 AM,01,Derailment,0,0,0,0,PORT,,,PORTAGE,,18,IN,INDIANA,127,PORTER,4,38.0,2,Day,2,Cloudy,2,Yard,EAST MAIN,1,,1,North,,,,,000,Estimated,000,0,2,Not Signaled,,Other Than Main Track,,,,,,,,,,,000,,,,000,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,1800,T112,"Wide gage (due to loose, broken, or defective gage rods)",,,T112,"Wide gage (due to loose, broken, or defective gage rods)",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,OTH,,41.622300000000003,-87.150405000000006,"AT APPROXIMATELY 1015 AM ON 3/2/2023, NS YARD JOB WITH THE INTERCHANGE CUT DERAILED WHILE PULLING ONTO THE EAST MAIN. DERAILED DUE TO WIDE GAUGE T112 DUE TO LOOS BROKEN OR DEFECTIVE RUD. TRACK DEFECT.",Yard,1,0,0,1,BHSBHS0523202303,BHSBHS0523202303,Switching and Terminal,Class 3,,BHS,BURNS HARBOR SHORTLINE RAILROAD COMPANY,Not Assigned,,Class 1,SMT-3 - Norfolk Southern,NS,Norfolk Southern Railway Company,Norfolk Southern Railway Company,Switching and Terminal,Class 3,,BHS,BURNS HARBOR SHORTLINE RAILROAD COMPANY,Not Assigned,POINT (-87.150405 41.6223)
